"{-0.05, 0.00001, -2, 0}","{-0.05, 0.000013413764885, -2, 0}","{-0.05, 0.000017992908839, -2, 0}","{-0.05, 0.0000241352648763, -2, 0}","{-0.05, 0.0000323744768487, -2, 0}","{-0.05, 0.0000434263620723, -2, 0}","{-0.05, 0.0000582511010648, -2, 0}","{-0.05, 0.0000781366573974, -2, 0}","{-0.05, 0.0001048106751227, -2, 0}","{-0.05, 0.0001405905753532, -2, 0}","{-0.05, 0.0001885848922832, -2, 0}","{-0.05, 0.0002529633405947, -2, 0}","{-0.05, 0.0003393190775256, -2, 0}","{-0.05, 0.0004551546326917, -2, 0}","{-0.05, 0.0006105337229237, -2, 0}","{-0.05, 0.0008189555813651, -2, 0}","{-0.05, 0.0010985277619675, -2, 0}","{-0.05, 0.0014735393118657, -2, 0}","{-0.05, 0.0019765709878144, -2, 0}","{-0.05, 0.0026513258509018, -2, 0}","{-0.05, 0.003556426159747, -2, 0}","{-0.05, 0.0047705064337644, -2, 0}","{-0.05, 0.0063990451684807, -2, 0}","{-0.05, 0.0085835287378376, -2, 0}","{-0.05, 0.0115137436372836, -2, 0}","{-0.05, 0.0154442650096474, -2, 0}","{-0.05, 0.0207165739660756, -2, 2.3427068073166548*^-9}","{-0.05, 0.0277887252403267, -2, 2.5419154366801207*^-6}","{-0.05, 0.0372751426827093, -2, 0.00015031115652038802}","{-0.05, 0.05, -2, 0.0017188799452888589}"
"{-0.0372751426827093, 0.00001, -2, 0}","{-0.0372751426827093, 0.000013413764885, -2, 0}","{-0.0372751426827093, 0.000017992908839, -2, 0}","{-0.0372751426827093, 0.0000241352648763, -2, 0}","{-0.0372751426827093, 0.0000323744768487, -2, 0}","{-0.0372751426827093, 0.0000434263620723, -2, 0}","{-0.0372751426827093, 0.0000582511010648, -2, 0}","{-0.0372751426827093, 0.0000781366573974, -2, 0}","{-0.0372751426827093, 0.0001048106751227, -2, 0}","{-0.0372751426827093, 0.0001405905753532, -2, 0}","{-0.0372751426827093, 0.0001885848922832, -2, 0}","{-0.0372751426827093, 0.0002529633405947, -2, 0}","{-0.0372751426827093, 0.0003393190775256, -2, 0}","{-0.0372751426827093, 0.0004551546326917, -2, 0}","{-0.0372751426827093, 0.0006105337229237, -2, 0}","{-0.0372751426827093, 0.0008189555813651, -2, 0}","{-0.0372751426827093, 0.0010985277619675, -2, 0}","{-0.0372751426827093, 0.0014735393118657, -2, 0}","{-0.0372751426827093, 0.0019765709878144, -2, 0}","{-0.0372751426827093, 0.0026513258509018, -2, 0}","{-0.0372751426827093, 0.003556426159747, -2, 0}","{-0.0372751426827093, 0.0047705064337644, -2, 0}","{-0.0372751426827093, 0.0063990451684807, -2, 0}","{-0.0372751426827093, 0.0085835287378376, -2, 0}","{-0.0372751426827093, 0.0115137436372836, -2, 0}","{-0.0372751426827093, 0.0154442650096474, -2, 2.3427068073167635*^-9}","{-0.0372751426827093, 0.0207165739660756, -2, 2.541915436679986*^-6}","{-0.0372751426827093, 0.0277887252403267, -2, 0.00015031115652038607}","{-0.0372751426827093, 0.0372751426827093, -2, 0.0017188799452888574}","{-0.0372751426827093, 0.05, -2, 0.0076692313616123515}"
"{-0.0277887252403267, 0.00001, -2, 0}","{-0.0277887252403267, 0.000013413764885, -2, 0}","{-0.0277887252403267, 0.000017992908839, -2, 0}","{-0.0277887252403267, 0.0000241352648763, -2, 0}","{-0.0277887252403267, 0.0000323744768487, -2, 0}","{-0.0277887252403267, 0.0000434263620723, -2, 0}","{-0.0277887252403267, 0.0000582511010648, -2, 0}","{-0.0277887252403267, 0.0000781366573974, -2, 0}","{-0.0277887252403267, 0.0001048106751227, -2, 0}","{-0.0277887252403267, 0.0001405905753532, -2, 0}","{-0.0277887252403267, 0.0001885848922832, -2, 0}","{-0.0277887252403267, 0.0002529633405947, -2, 0}","{-0.0277887252403267, 0.0003393190775256, -2, 0}","{-0.0277887252403267, 0.0004551546326917, -2, 0}","{-0.0277887252403267, 0.0006105337229237, -2, 0}","{-0.0277887252403267, 0.0008189555813651, -2, 0}","{-0.0277887252403267, 0.0010985277619675, -2, 0}","{-0.0277887252403267, 0.0014735393118657, -2, 0}","{-0.0277887252403267, 0.0019765709878144, -2, 0}","{-0.0277887252403267, 0.0026513258509018, -2, 0}","{-0.0277887252403267, 0.003556426159747, -2, 0}","{-0.0277887252403267, 0.0047705064337644, -2, 0}","{-0.0277887252403267, 0.0063990451684807, -2, 0}","{-0.0277887252403267, 0.0085835287378376, -2, 0}","{-0.0277887252403267, 0.0115137436372836, -2, 2.3427068073166634*^-9}","{-0.0277887252403267, 0.0154442650096474, -2, 2.5419154366801135*^-6}","{-0.0277887252403267, 0.0207165739660756, -2, 0.00015031115652038344}","{-0.0277887252403267, 0.0277887252403267, -2, 0.0017188799452888582}","{-0.0277887252403267, 0.0372751426827093, -2, 0.007669231361612384}","{-0.0277887252403267, 0.05, -2, 0.019735378255692722}"
"{-0.0207165739660756, 0.00001, -2, 0}","{-0.0207165739660756, 0.000013413764885, -2, 0}","{-0.0207165739660756, 0.000017992908839, -2, 0}","{-0.0207165739660756, 0.0000241352648763, -2, 0}","{-0.0207165739660756, 0.0000323744768487, -2, 0}","{-0.0207165739660756, 0.0000434263620723, -2, 0}","{-0.0207165739660756, 0.0000582511010648, -2, 0}","{-0.0207165739660756, 0.0000781366573974, -2, 0}","{-0.0207165739660756, 0.0001048106751227, -2, 0}","{-0.0207165739660756, 0.0001405905753532, -2, 0}","{-0.0207165739660756, 0.0001885848922832, -2, 0}","{-0.0207165739660756, 0.0002529633405947, -2, 0}","{-0.0207165739660756, 0.0003393190775256, -2, 0}","{-0.0207165739660756, 0.0004551546326917, -2, 0}","{-0.0207165739660756, 0.0006105337229237, -2, 0}","{-0.0207165739660756, 0.0008189555813651, -2, 0}","{-0.0207165739660756, 0.0010985277619675, -2, 0}","{-0.0207165739660756, 0.0014735393118657, -2, 0}","{-0.0207165739660756, 0.0019765709878144, -2, 0}","{-0.0207165739660756, 0.0026513258509018, -2, 0}","{-0.0207165739660756, 0.003556426159747, -2, 0}","{-0.0207165739660756, 0.0047705064337644, -2, 0}","{-0.0207165739660756, 0.0063990451684807, -2, 0}","{-0.0207165739660756, 0.0085835287378376, -2, 2.3427068073164343*^-9}","{-0.0207165739660756, 0.0115137436372836, -2, 2.5419154366801216*^-6}","{-0.0207165739660756, 0.0154442650096474, -2, 0.00015031115652039046}","{-0.0207165739660756, 0.0207165739660756, -2, 0.0017188799452888576}","{-0.0207165739660756, 0.0277887252403267, -2, 0.007669231361612438}","{-0.0207165739660756, 0.0372751426827093, -2, 0.019735378255692864}","{-0.0207165739660756, 0.05, -2, 0.03650026724613342}"
"{-0.0154442650096474, 0.00001, -2, 0}","{-0.0154442650096474, 0.000013413764885, -2, 0}","{-0.0154442650096474, 0.000017992908839, -2, 0}","{-0.0154442650096474, 0.0000241352648763, -2, 0}","{-0.0154442650096474, 0.0000323744768487, -2, 0}","{-0.0154442650096474, 0.0000434263620723, -2, 0}","{-0.0154442650096474, 0.0000582511010648, -2, 0}","{-0.0154442650096474, 0.0000781366573974, -2, 0}","{-0.0154442650096474, 0.0001048106751227, -2, 0}","{-0.0154442650096474, 0.0001405905753532, -2, 0}","{-0.0154442650096474, 0.0001885848922832, -2, 0}","{-0.0154442650096474, 0.0002529633405947, -2, 0}","{-0.0154442650096474, 0.0003393190775256, -2, 0}","{-0.0154442650096474, 0.0004551546326917, -2, 0}","{-0.0154442650096474, 0.0006105337229237, -2, 0}","{-0.0154442650096474, 0.0008189555813651, -2, 0}","{-0.0154442650096474, 0.0010985277619675, -2, 0}","{-0.0154442650096474, 0.0014735393118657, -2, 0}","{-0.0154442650096474, 0.0019765709878144, -2, 0}","{-0.0154442650096474, 0.0026513258509018, -2, 0}","{-0.0154442650096474, 0.003556426159747, -2, 0}","{-0.0154442650096474, 0.0047705064337644, -2, 0}","{-0.0154442650096474, 0.0063990451684807, -2, 2.342706807316973*^-9}","{-0.0154442650096474, 0.0085835287378376, -2, 2.5419154366797806*^-6}","{-0.0154442650096474, 0.0115137436372836, -2, 0.00015031115652038393}","{-0.0154442650096474, 0.0154442650096474, -2, 0.0017188799452888587}","{-0.0154442650096474, 0.0207165739660756, -2, 0.007669231361612305}","{-0.0154442650096474, 0.0277887252403267, -2, 0.019735378255692736}","{-0.0154442650096474, 0.0372751426827093, -2, 0.036500267246133325}","{-0.0154442650096474, 0.05, -2, 0.055043676863390824}"
"{-0.0115137436372836, 0.00001, -2, 0}","{-0.0115137436372836, 0.000013413764885, -2, 0}","{-0.0115137436372836, 0.000017992908839, -2, 0}","{-0.0115137436372836, 0.0000241352648763, -2, 0}","{-0.0115137436372836, 0.0000323744768487, -2, 0}","{-0.0115137436372836, 0.0000434263620723, -2, 0}","{-0.0115137436372836, 0.0000582511010648, -2, 0}","{-0.0115137436372836, 0.0000781366573974, -2, 0}","{-0.0115137436372836, 0.0001048106751227, -2, 0}","{-0.0115137436372836, 0.0001405905753532, -2, 0}","{-0.0115137436372836, 0.0001885848922832, -2, 0}","{-0.0115137436372836, 0.0002529633405947, -2, 0}","{-0.0115137436372836, 0.0003393190775256, -2, 0}","{-0.0115137436372836, 0.0004551546326917, -2, 0}","{-0.0115137436372836, 0.0006105337229237, -2, 0}","{-0.0115137436372836, 0.0008189555813651, -2, 0}","{-0.0115137436372836, 0.0010985277619675, -2, 0}","{-0.0115137436372836, 0.0014735393118657, -2, 0}","{-0.0115137436372836, 0.0019765709878144, -2, 0}","{-0.0115137436372836, 0.0026513258509018, -2, 0}","{-0.0115137436372836, 0.003556426159747, -2, 0}","{-0.0115137436372836, 0.0047705064337644, -2, 2.3427068073172673*^-9}","{-0.0115137436372836, 0.0063990451684807, -2, 2.541915436680303*^-6}","{-0.0115137436372836, 0.0085835287378376, -2, 0.0001503111565203785}","{-0.0115137436372836, 0.0115137436372836, -2, 0.0017188799452888582}","{-0.0115137436372836, 0.0154442650096474, -2, 0.0076692313616124295}","{-0.0115137436372836, 0.0207165739660756, -2, 0.019735378255692715}","{-0.0115137436372836, 0.0277887252403267, -2, 0.03650026724613341}","{-0.0115137436372836, 0.0372751426827093, -2, 0.055043676863390976}","{-0.0115137436372836, 0.05, -2, 0.0728927491049134}"
"{-0.0085835287378376, 0.00001, -2, 0}","{-0.0085835287378376, 0.000013413764885, -2, 0}","{-0.0085835287378376, 0.000017992908839, -2, 0}","{-0.0085835287378376, 0.0000241352648763, -2, 0}","{-0.0085835287378376, 0.0000323744768487, -2, 0}","{-0.0085835287378376, 0.0000434263620723, -2, 0}","{-0.0085835287378376, 0.0000582511010648, -2, 0}","{-0.0085835287378376, 0.0000781366573974, -2, 0}","{-0.0085835287378376, 0.0001048106751227, -2, 0}","{-0.0085835287378376, 0.0001405905753532, -2, 0}","{-0.0085835287378376, 0.0001885848922832, -2, 0}","{-0.0085835287378376, 0.0002529633405947, -2, 0}","{-0.0085835287378376, 0.0003393190775256, -2, 0}","{-0.0085835287378376, 0.0004551546326917, -2, 0}","{-0.0085835287378376, 0.0006105337229237, -2, 0}","{-0.0085835287378376, 0.0008189555813651, -2, 0}","{-0.0085835287378376, 0.0010985277619675, -2, 0}","{-0.0085835287378376, 0.0014735393118657, -2, 0}","{-0.0085835287378376, 0.0019765709878144, -2, 0}","{-0.0085835287378376, 0.0026513258509018, -2, 0}","{-0.0085835287378376, 0.003556426159747, -2, 2.34270680731741*^-9}","{-0.0085835287378376, 0.0047705064337644, -2, 2.5419154366806416*^-6}","{-0.0085835287378376, 0.0063990451684807, -2, 0.00015031115652040206}","{-0.0085835287378376, 0.0085835287378376, -2, 0.0017188799452888578}","{-0.0085835287378376, 0.0115137436372836, -2, 0.007669231361612533}","{-0.0085835287378376, 0.0154442650096474, -2, 0.01973537825569309}","{-0.0085835287378376, 0.0207165739660756, -2, 0.036500267246133596}","{-0.0085835287378376, 0.0277887252403267, -2, 0.05504367686339128}","{-0.0085835287378376, 0.0372751426827093, -2, 0.07289274910491375}","{-0.0085835287378376, 0.05, -2, 0.08865375333332452}"
"{-0.0063990451684807, 0.00001, -2, 0}","{-0.0063990451684807, 0.000013413764885, -2, 0}","{-0.0063990451684807, 0.000017992908839, -2, 0}","{-0.0063990451684807, 0.0000241352648763, -2, 0}","{-0.0063990451684807, 0.0000323744768487, -2, 0}","{-0.0063990451684807, 0.0000434263620723, -2, 0}","{-0.0063990451684807, 0.0000582511010648, -2, 0}","{-0.0063990451684807, 0.0000781366573974, -2, 0}","{-0.0063990451684807, 0.0001048106751227, -2, 0}","{-0.0063990451684807, 0.0001405905753532, -2, 0}","{-0.0063990451684807, 0.0001885848922832, -2, 0}","{-0.0063990451684807, 0.0002529633405947, -2, 0}","{-0.0063990451684807, 0.0003393190775256, -2, 0}","{-0.0063990451684807, 0.0004551546326917, -2, 0}","{-0.0063990451684807, 0.0006105337229237, -2, 0}","{-0.0063990451684807, 0.0008189555813651, -2, 0}","{-0.0063990451684807, 0.0010985277619675, -2, 0}","{-0.0063990451684807, 0.0014735393118657, -2, 0}","{-0.0063990451684807, 0.0019765709878144, -2, 0}","{-0.0063990451684807, 0.0026513258509018, -2, 2.342706807317149*^-9}","{-0.0063990451684807, 0.003556426159747, -2, 2.541915436680063*^-6}","{-0.0063990451684807, 0.0047705064337644, -2, 0.00015031115652039048}","{-0.0063990451684807, 0.0063990451684807, -2, 0.0017188799452888593}","{-0.0063990451684807, 0.0085835287378376, -2, 0.007669231361612081}","{-0.0063990451684807, 0.0115137436372836, -2, 0.01973537825569252}","{-0.0063990451684807, 0.0154442650096474, -2, 0.03650026724613316}","{-0.0063990451684807, 0.0207165739660756, -2, 0.05504367686339055}","{-0.0063990451684807, 0.0277887252403267, -2, 0.07289274910491317}","{-0.0063990451684807, 0.0372751426827093, -2, 0.08865375333332409}","{-0.0063990451684807, 0.05, -2, 0.10182987743813177}"
"{-0.0047705064337644, 0.00001, -2, 0}","{-0.0047705064337644, 0.000013413764885, -2, 0}","{-0.0047705064337644, 0.000017992908839, -2, 0}","{-0.0047705064337644, 0.0000241352648763, -2, 0}","{-0.0047705064337644, 0.0000323744768487, -2, 0}","{-0.0047705064337644, 0.0000434263620723, -2, 0}","{-0.0047705064337644, 0.0000582511010648, -2, 0}","{-0.0047705064337644, 0.0000781366573974, -2, 0}","{-0.0047705064337644, 0.0001048106751227, -2, 0}","{-0.0047705064337644, 0.0001405905753532, -2, 0}","{-0.0047705064337644, 0.0001885848922832, -2, 0}","{-0.0047705064337644, 0.0002529633405947, -2, 0}","{-0.0047705064337644, 0.0003393190775256, -2, 0}","{-0.0047705064337644, 0.0004551546326917, -2, 0}","{-0.0047705064337644, 0.0006105337229237, -2, 0}","{-0.0047705064337644, 0.0008189555813651, -2, 0}","{-0.0047705064337644, 0.0010985277619675, -2, 0}","{-0.0047705064337644, 0.0014735393118657, -2, 0}","{-0.0047705064337644, 0.0019765709878144, -2, 2.3427068073168653*^-9}","{-0.0047705064337644, 0.0026513258509018, -2, 2.541915436680228*^-6}","{-0.0047705064337644, 0.003556426159747, -2, 0.00015031115652038178}","{-0.0047705064337644, 0.0047705064337644, -2, 0.0017188799452888585}","{-0.0047705064337644, 0.0063990451684807, -2, 0.007669231361612307}","{-0.0047705064337644, 0.0085835287378376, -2, 0.019735378255692135}","{-0.0047705064337644, 0.0115137436372836, -2, 0.03650026724613289}","{-0.0047705064337644, 0.0154442650096474, -2, 0.05504367686339057}","{-0.0047705064337644, 0.0207165739660756, -2, 0.07289274910491293}","{-0.0047705064337644, 0.0277887252403267, -2, 0.08865375333332395}","{-0.0047705064337644, 0.0372751426827093, -2, 0.10182987743813171}","{-0.0047705064337644, 0.05, -2, 0.11246043942035389}"
"{-0.003556426159747, 0.00001, -2, 0}","{-0.003556426159747, 0.000013413764885, -2, 0}","{-0.003556426159747, 0.000017992908839, -2, 0}","{-0.003556426159747, 0.0000241352648763, -2, 0}","{-0.003556426159747, 0.0000323744768487, -2, 0}","{-0.003556426159747, 0.0000434263620723, -2, 0}","{-0.003556426159747, 0.0000582511010648, -2, 0}","{-0.003556426159747, 0.0000781366573974, -2, 0}","{-0.003556426159747, 0.0001048106751227, -2, 0}","{-0.003556426159747, 0.0001405905753532, -2, 0}","{-0.003556426159747, 0.0001885848922832, -2, 0}","{-0.003556426159747, 0.0002529633405947, -2, 0}","{-0.003556426159747, 0.0003393190775256, -2, 0}","{-0.003556426159747, 0.0004551546326917, -2, 0}","{-0.003556426159747, 0.0006105337229237, -2, 0}","{-0.003556426159747, 0.0008189555813651, -2, 0}","{-0.003556426159747, 0.0010985277619675, -2, 0}","{-0.003556426159747, 0.0014735393118657, -2, 2.342706807316738*^-9}","{-0.003556426159747, 0.0019765709878144, -2, 2.5419154366803003*^-6}","{-0.003556426159747, 0.0026513258509018, -2, 0.00015031115652039629}","{-0.003556426159747, 0.003556426159747, -2, 0.0017188799452888589}","{-0.003556426159747, 0.0047705064337644, -2, 0.007669231361612474}","{-0.003556426159747, 0.0063990451684807, -2, 0.019735378255692788}","{-0.003556426159747, 0.0085835287378376, -2, 0.036500267246132756}","{-0.003556426159747, 0.0115137436372836, -2, 0.055043676863390636}","{-0.003556426159747, 0.0154442650096474, -2, 0.07289274910491325}","{-0.003556426159747, 0.0207165739660756, -2, 0.08865375333332401}","{-0.003556426159747, 0.0277887252403267, -2, 0.10182987743813181}","{-0.003556426159747, 0.0372751426827093, -2, 0.112460439420354}","{-0.003556426159747, 0.05, -2, 0.12083702505779761}"
