mu sigma alpha beta het how
-0.0115137436 0.0000100000 0.0 0 0.000004197573 rai
-0.0115137436 0.0000100000 0.0 1000 0.000390314654 rai
-0.0115137436 0.0000100000 0.0 3000 0.000389975252 rai
-0.0115137436 0.0000100000 0.0 5000 0.000389033490 rai
-0.0115137436 0.0000100000 0.0 7000 0.000389897515 rai
-0.0115137436 0.0000100000 -2.0 0 0.000004161235 rai
-0.0115137436 0.0000100000 -2.0 1000 0.000389495124 rai
-0.0115137436 0.0000100000 -2.0 3000 0.000390944092 rai
-0.0115137436 0.0000100000 -2.0 5000 0.000389366960 rai
-0.0115137436 0.0000100000 -2.0 7000 0.000389185132 rai
-0.0115137436 0.0000100000 -4.0 0 0.000004155412 rai
-0.0115137436 0.0000100000 -4.0 1000 0.000389354245 rai
-0.0115137436 0.0000100000 -4.0 3000 0.000389468944 rai
-0.0115137436 0.0000100000 -4.0 5000 0.000390728474 rai
-0.0115137436 0.0000100000 -4.0 7000 0.000389024779 rai
-0.0115137436 0.0000134138 0.0 0 0.000004155527 rai
-0.0115137436 0.0000134138 0.0 1000 0.000387495088 rai
-0.0115137436 0.0000134138 0.0 3000 0.000390492159 rai
-0.0115137436 0.0000134138 0.0 5000 0.000389877387 rai
-0.0115137436 0.0000134138 0.0 7000 0.000390846718 rai
-0.0115137436 0.0000134138 -2.0 0 0.000004143711 rai
-0.0115137436 0.0000134138 -2.0 1000 0.000388847090 rai
-0.0115137436 0.0000134138 -2.0 3000 0.000390264663 rai
-0.0115137436 0.0000134138 -2.0 5000 0.000388723347 rai
-0.0115137436 0.0000134138 -2.0 7000 0.000389831315 rai
-0.0115137436 0.0000134138 -4.0 0 0.000004182251 rai
-0.0115137436 0.0000134138 -4.0 1000 0.000388585884 rai
-0.0115137436 0.0000134138 -4.0 3000 0.000390486088 rai
-0.0115137436 0.0000134138 -4.0 5000 0.000389144195 rai
-0.0115137436 0.0000134138 -4.0 7000 0.000389542349 rai
-0.0115137436 0.0000179929 0.0 0 0.000004169851 rai
-0.0115137436 0.0000179929 0.0 1000 0.000388801002 rai
-0.0115137436 0.0000179929 0.0 3000 0.000389451071 rai
-0.0115137436 0.0000179929 0.0 5000 0.000389949208 rai
-0.0115137436 0.0000179929 0.0 7000 0.000390257866 rai
-0.0115137436 0.0000179929 -2.0 0 0.000004183916 rai
